GEOID,county,year,pop,Illicit opioid overdose deaths,People served by treatment programs,Drug overdose ED visits,Patients receiving buprenorphine,Acute HepC,AcuteHepCpdf,ChronicHepC,HIV
37001,Alamance,2020,169509,34,697,256,696,0,0,175,13
37003,Alexander,2020,37497,6,323,34,458,1,1,31,1
37005,Alleghany,2020,11137,0,49,9,75,0,0,18,0
37007,Anson,2020,24446,5,58,42,70,0,0,20,1
37009,Ashe,2020,27203,2,169,24,301,0,0,28,0
37011,Avery,2020,17557,1,104,12,257,0,1,18,2
37013,Beaufort,2020,46994,11,421,59,785,0,0,51,7
37015,Bertie,2020,18947,1,83,25,66,0,0,22,2
37017,Bladen,2020,32722,17,240,46,343,0,0,44,2
37019,Brunswick,2020,142820,35,878,114,1380,1,1,161,4
37021,Buncombe,2020,261191,83,1827,408,1861,9,9,502,13
37023,Burke,2020,90485,30,658,170,934,2,2,157,4
37025,Cabarrus,2020,216453,54,969,319,983,1,1,115,13
37027,Caldwell,2020,82178,21,526,133,893,3,3,134,2
37029,Camden,2020,10867,3,,12,21,1,1,10,0
37031,Carteret,2020,69473,32,529,136,519,0,0,104,6
37033,Caswell,2020,22604,5,85,9,106,0,0,28,3
37035,Catawba,2020,159551,36,942,284,1283,3,3,209,9
37037,Chatham,2020,74470,14,248,71,211,1,1,45,2
37039,Cherokee,2020,28612,6,195,26,253,1,1,77,1
37041,Chowan,2020,13943,5,62,28,36,0,0,18,0
37043,Clay,2020,11231,1,48,1,56,1,1,11,0
37045,Cleveland,2020,97947,10,540,175,758,1,1,70,7
37047,Columbus,2020,55508,16,544,119,781,1,1,47,3
37049,Craven,2020,102139,41,764,190,617,2,1,159,3
37051,Cumberland,2020,335509,134,1613,591,1206,2,3,391,60
37053,Currituck,2020,27763,12,106,22,75,0,0,20,1
37055,Dare,2020,37009,11,186,59,354,1,0,46,0
37057,Davidson,2020,167609,76,1125,376,967,4,4,298,14
37059,Davie,2020,42846,11,211,55,247,0,0,27,1
37061,Duplin,2020,58741,8,86,52,191,0,0,24,3
37063,Durham,2020,321488,62,1334,420,1292,3,3,306,51
37065,Edgecombe,2020,51472,16,347,103,223,0,0,62,6
37067,Forsyth,2020,382295,99,1533,543,1380,1,1,274,39
37069,Franklin,2020,69685,12,277,72,266,0,0,46,2
37071,Gaston,2020,224529,46,1335,331,2056,11,11,308,26
37073,Gates,2020,11562,1,,6,24,0,0,12,1
37075,Graham,2020,8441,5,79,5,140,0,0,21,0
37077,Granville,2020,60443,10,314,87,295,1,0,86,4
37079,Greene,2020,21069,3,65,33,67,2,0,18,2
37081,Guilford,2020,537174,117,1737,659,1601,2,3,407,92
37083,Halifax,2020,50010,18,314,106,199,0,0,48,9
37085,Harnett,2020,135976,45,428,235,786,0,0,132,8
37087,Haywood,2020,62317,10,506,81,713,0,0,110,2
37089,Henderson,2020,117417,27,489,100,635,0,0,152,2
37091,Hertford,2020,23677,5,61,10,194,0,0,22,1
37093,Hoke,2020,55234,13,140,65,191,0,0,32,8
37095,Hyde,2020,4937,1,,3,23,0,0,9,0
37097,Iredell,2020,181806,30,781,205,1189,2,2,146,12
37099,Jackson,2020,43938,20,229,57,294,1,3,65,2
37101,Johnston,2020,209339,35,736,203,685,4,4,178,12
37103,Jones,2020,9419,0,63,17,57,0,0,12,0
37105,Lee,2020,61779,26,343,205,650,0,0,83,5
37107,Lenoir,2020,55949,16,225,75,272,0,0,42,4
37109,Lincoln,2020,86111,12,410,109,616,0,0,72,3
37113,Macon,2020,35858,6,165,33,243,1,1,66,4
37115,Madison,2020,21755,4,166,30,113,0,0,43,0
37117,Martin,2020,22440,6,102,15,149,0,0,13,5
37111,McDowell,2020,45756,5,367,78,455,0,0,82,0
37119,Mecklenburg,2020,1110356,167,2124,1475,1892,4,4,614,209
37121,Mitchell,2020,14964,3,127,9,369,0,0,21,0
37123,Montgomery,2020,27173,6,181,76,264,0,0,22,5
37125,Moore,2020,100880,21,627,114,699,1,1,91,8
37127,Nash,2020,94298,22,360,136,331,1,1,103,11
37129,New Hanover,2020,234473,84,1758,317,1780,1,1,272,23
37131,Northampton,2020,19483,5,,24,22,0,0,16,0
37133,Onslow,2020,197938,46,724,212,997,0,0,195,25
37135,Orange,2020,148476,18,447,113,488,0,0,150,10
37137,Pamlico,2020,12726,10,92,31,81,0,0,12,0
37139,Pasquotank,2020,39824,20,251,100,99,2,1,39,6
37141,Pender,2020,63060,14,338,70,504,1,0,63,5
37143,Perquimans,2020,13463,8,66,29,44,0,0,15,0
37145,Person,2020,39490,7,223,48,443,0,0,35,3
37147,Pitt,2020,180742,48,842,285,1088,1,1,180,22
37149,Polk,2020,20724,4,59,21,125,0,0,15,2
37151,Randolph,2020,143667,67,927,310,807,3,3,166,6
37153,Richmond,2020,44829,17,549,153,717,1,1,51,4
37155,Robeson,2020,130625,72,1664,644,1358,0,0,149,18
37157,Rockingham,2020,91010,42,695,214,701,0,0,96,3
37159,Rowan,2020,142088,58,929,244,1046,2,2,193,10
37161,Rutherford,2020,67029,14,276,83,448,0,0,84,1
37163,Sampson,2020,63531,7,148,91,289,0,0,53,6
37165,Scotland,2020,34823,9,377,115,334,2,1,39,9
37167,Stanly,2020,62806,24,503,145,424,0,0,38,1
37169,Stokes,2020,45591,23,314,102,276,1,1,46,2
37171,Surry,2020,71783,14,600,133,650,5,5,91,5
37173,Swain,2020,14271,7,106,38,329,2,1,54,0
37175,Transylvania,2020,34385,5,173,31,332,0,0,52,2
37177,Tyrrell,2020,4016,1,12,4,14,0,0,3,0
37179,Union,2020,239859,35,619,293,593,2,2,86,10
37181,Vance,2020,44535,16,571,73,326,0,0,59,5
37183,Wake,2020,1111761,160,2264,959,2688,2,2,754,134
37185,Warren,2020,19731,8,81,12,51,0,0,11,5
37187,Washington,2020,11580,1,37,8,50,0,0,10,3
37189,Watauga,2020,56177,7,189,23,177,0,0,41,2
37191,Wayne,2020,123131,21,476,175,370,0,0,99,11
37193,Wilkes,2020,68412,15,1042,91,965,3,3,98,4
37195,Wilson,2020,81801,19,492,136,209,0,0,78,18
37197,Yadkin,2020,37667,13,306,64,371,3,3,51,3
37199,Yancey,2020,18069,3,165,14,283,0,0,39,0
37001,Alamance,2021,169509,50,627,320,751,,2,186,26
37003,Alexander,2021,37497,6,301,54,467,,0,40,1
37005,Alleghany,2021,11137,1,45,13,73,,0,21,2
37007,Anson,2021,24446,5,63,25,86,,0,27,4
37009,Ashe,2021,27203,2,189,20,283,,0,31,1
37011,Avery,2021,17557,0,106,19,268,,0,23,1
37013,Beaufort,2021,46994,16,422,90,785,,0,69,6
37015,Bertie,2021,18947,7,74,20,58,,0,52,5
37017,Bladen,2021,32722,19,282,49,336,,0,45,3
37019,Brunswick,2021,142820,40,1020,128,1367,,1,174,5
37021,Buncombe,2021,261191,94,2048,397,1951,,8,581,21
37023,Burke,2021,90485,44,604,234,902,,1,197,6
37025,Cabarrus,2021,216453,57,900,300,947,,0,104,24
37027,Caldwell,2021,82178,37,606,185,912,,2,149,2
37029,Camden,2021,10867,0,,7,14,,0,7,1
37031,Carteret,2021,69473,24,573,140,500,,0,110,6
37033,Caswell,2021,22604,3,99,21,95,,0,26,2
37035,Catawba,2021,159551,73,858,383,1405,,4,204,9
37037,Chatham,2021,74470,24,225,83,220,,0,80,6
37039,Cherokee,2021,28612,16,164,17,344,,0,85,0
37041,Chowan,2021,13943,2,55,18,38,,0,17,1
37043,Clay,2021,11231,5,,2,67,,1,10,0
37045,Cleveland,2021,97947,13,560,186,782,,0,82,8
37047,Columbus,2021,55508,34,576,114,792,,0,67,4
37049,Craven,2021,102139,57,727,191,697,,0,119,11
37051,Cumberland,2021,335509,178,1727,684,1188,,2,376,82
37053,Currituck,2021,27763,8,103,21,65,,0,29,2
37055,Dare,2021,37009,14,203,42,300,,0,68,0
37057,Davidson,2021,167609,100,1030,364,929,,4,275,12
37059,Davie,2021,42846,18,199,68,272,,0,36,5
37061,Duplin,2021,58741,12,104,65,221,,0,40,10
37063,Durham,2021,321488,93,1317,580,1401,,0,352,61
37065,Edgecombe,2021,51472,18,349,79,241,,1,67,9
37067,Forsyth,2021,382295,126,1444,662,1397,,1,313,64
37069,Franklin,2021,69685,16,288,100,295,,0,54,5
37071,Gaston,2021,224529,50,1399,386,1924,,14,354,30
37073,Gates,2021,11562,5,,6,20,,0,15,1
37075,Graham,2021,8441,3,83,8,142,,2,24,0
37077,Granville,2021,60443,18,287,92,291,,2,97,7
37079,Greene,2021,21069,4,80,20,63,,0,47,2
37081,Guilford,2021,537174,190,1590,942,1660,,0,463,135
37083,Halifax,2021,50010,11,291,106,199,,0,55,3
37085,Harnett,2021,135976,54,490,282,747,,1,151,12
37087,Haywood,2021,62317,19,542,88,705,,2,86,2
37089,Henderson,2021,117417,24,514,107,714,,0,132,11
37091,Hertford,2021,23677,2,77,21,178,,0,48,2
37093,Hoke,2021,55234,17,154,60,187,,1,35,9
37095,Hyde,2021,4937,0,15,4,25,,0,11,1
37097,Iredell,2021,181806,35,872,251,1264,,4,200,18
37099,Jackson,2021,43938,18,227,48,295,,1,78,0
37101,Johnston,2021,209339,49,760,237,727,,2,147,15
37103,Jones,2021,9419,2,69,25,75,,0,19,2
37105,Lee,2021,61779,34,383,145,588,,2,105,3
37107,Lenoir,2021,55949,17,232,57,250,,0,47,8
37109,Lincoln,2021,86111,27,422,157,648,,2,68,5
37113,Macon,2021,35858,15,259,49,257,,0,78,0
37115,Madison,2021,21755,4,199,36,149,,0,37,1
37117,Martin,2021,22440,6,116,14,155,,0,20,7
37111,McDowell,2021,45756,16,393,100,488,,0,106,1
37119,Mecklenburg,2021,1110356,189,2566,1539,1849,,0,548,278
37121,Mitchell,2021,14964,5,140,18,384,,0,32,1
37123,Montgomery,2021,27173,18,182,105,260,,1,20,0
37125,Moore,2021,100880,22,664,149,672,,2,82,4
37127,Nash,2021,94298,28,396,130,416,,1,131,17
37129,New Hanover,2021,234473,79,1879,326,1792,,5,268,26
37131,Northampton,2021,19483,2,41,21,31,,0,22,1
37133,Onslow,2021,197938,58,857,256,1069,,2,189,17
37135,Orange,2021,148476,20,490,122,525,,1,197,4
37137,Pamlico,2021,12726,8,87,46,87,,0,17,3
37139,Pasquotank,2021,39824,19,252,69,119,,0,32,7
37141,Pender,2021,63060,18,399,94,522,,1,73,3
37143,Perquimans,2021,13463,6,75,25,40,,0,10,0
37145,Person,2021,39490,6,232,73,427,,0,42,8
37147,Pitt,2021,180742,46,866,340,1101,,1,235,35
37149,Polk,2021,20724,2,65,18,123,,0,16,0
37151,Randolph,2021,143667,81,998,375,802,,2,185,8
37153,Richmond,2021,44829,32,610,179,728,,3,93,6
37155,Robeson,2021,130625,104,1779,747,1307,,0,165,24
37157,Rockingham,2021,91010,50,633,208,737,,0,98,2
37159,Rowan,2021,142088,68,919,278,1084,,4,214,13
37161,Rutherford,2021,67029,23,323,153,476,,0,94,2
37163,Sampson,2021,63531,17,169,95,290,,0,65,8
37165,Scotland,2021,34823,18,404,97,341,,0,52,6
37167,Stanly,2021,62806,20,368,117,461,,0,43,2
37169,Stokes,2021,45591,28,273,104,290,,1,67,2
37171,Surry,2021,71783,18,536,132,695,,1,99,0
37173,Swain,2021,14271,5,106,37,316,,2,31,0
37175,Transylvania,2021,34385,4,195,25,366,,0,49,2
37177,Tyrrell,2021,4016,1,19,1,14,,0,7,0
37179,Union,2021,239859,44,584,281,620,,2,79,9
37181,Vance,2021,44535,15,508,93,336,,1,57,5
37183,Wake,2021,1111761,180,2521,1135,2917,,3,805,162
37185,Warren,2021,19731,3,79,20,59,,0,13,3
37187,Washington,2021,11580,5,47,6,63,,0,15,1
37189,Watauga,2021,56177,6,232,32,199,,0,50,1
37191,Wayne,2021,123131,27,517,138,375,,0,146,21
37193,Wilkes,2021,68412,16,1099,124,946,,2,96,1
37195,Wilson,2021,81801,25,508,167,236,,0,99,18
37197,Yadkin,2021,37667,15,312,69,365,,0,64,3
37199,Yancey,2021,18069,3,170,14,297,,0,30,0